Identifier,IdentityScore,EAScore,UWScore,Owner_Verified_Components,Owner_Negatively_Verified_Components,Owner_Phone_1_to_Name_Linkage,Owner_Phone_1_to_First_Name_Linkage,Owner_Address_to_Phone_1_Linkage,Owner_Email_to_Phone_1_Linkage,Owner_Prepaid_Phone_Attribute,Owner_Business_Phone_Indicator,Owner_Phone_InService_Indicator,Owner_Phone_Type_Indicator,Owner_Service_Discontinued_Indicator,Owner_Recent_Phone_Usage_Past_2_months,Owner_Phone_Usage_Past_12_months,Owner_Phone_Carrier,Owner_Parent_Phone_Carrier,Owner_Technology_Indicator,Owner_VoIP_Indicator,Owner_MVNO_Indicator,Fraud
1003665,406,79,0.457,2,5,2,-1,1,0,N,U,A7,W,0,1,2,Metro PCS Comm - NSR,T-Mobile,Wireless,,N,0
1003666,571,904,10.488,5,5,2,2,-2,0,N,U,A7,W,0,3,5,Cingular Wireless,AT&T,Wireless,,N,0
1003667,486,138,1.16,7,3,-1,-1,1,1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003668,411,83,2.447,6,4,-1,2,-1,-1,Y,U,A3,W,4,1,1,Verizon Wireless - SVR,Verizon,Wireless,,N,1
1003669,690,50,1.409,1,8,2,1,-1,-1,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003670,380,500,1.112,2,8,1,-1,-1,0,N,U,I1,W,4,3,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003671,478,244,2.04,7,3,-1,2,-1,-1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003672,443,904,3.62,2,8,2,-2,-1,-2,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003673,427,500,1.008,2,8,2,-2,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003674,414,213,0.597,2,8,2,1,2,-2,N,U,A7,W,0,1,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003675,591,226,1.957,2,8,2,1,-1,-2,Y,U,A7,W,7,2,3,Cingular Wireless,AT&T,Wireless,,Y,0
1003676,305,500,1.03,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003677,532,451,2.799,2,3,2,-2,-1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003678,435,500,1.474,2,8,2,2,1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003679,302,500,0.578,2,8,2,-1,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003680,451,80,2.106,2,8,2,-1,-1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003681,392,95,0.332,2,5,2,2,2,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003682,464,73,0.865,8,5,-1,-1,-2,-1,N,B,A6,L,0,1,2,Mid Continent Comm - NSR,Midco,Wireline,3,,0
1003683,490,134,0.904,2,8,2,1,2,0,N,B,A7,L,5,2,3,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,0
1003684,546,94,0.162,7,5,-1,-1,-1,-2,N,B,I1,L,0,0,1,Comcast Phone,Comcast,Wireline,3,,0
1003685,610,73,7.606,5,6,2,1,-1,-1,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003686,377,88,1.305,1,8,2,-1,2,1,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003687,408,75,0.378,1,8,2,-2,1,1,N,U,A7,W,0,3,5,Cingular Wireless,AT&T,Wireless,,N,0
1003688,497,81,1.312,1,8,2,-2,1,-1,N,U,A7,W,7,1,2,Cingular Wireless,AT&T,Wireless,,N,0
1003689,444,500,1.848,2,8,2,-2,-1,-2,N,U,A7,W,0,2,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003690,539,492,14.826,2,8,2,-2,1,0,N,U,A7,W,0,4,5,Cingular Wireless,AT&T,Wireless,,N,0
1003691,505,86,1.566,5,8,2,1,-2,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003692,524,144,2.013,2,6,1,1,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003693,523,136,1.272,2,8,2,1,2,0,N,U,A6,W,7,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003694,450,74,0.64,7,3,-1,-1,-1,-1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003695,545,248,1.799,2,8,1,1,-1,0,N,B,A7,L,0,2,3,Frontier Rochester- SVR,Frontier Communications,Wireline,3,,0
1003696,352,84,0.536,2,8,2,-2,-1,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003697,678,500,16.656,7,5,-1,2,-1,0,N,U,A3,W,5,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003698,381,709,3.104,2,8,2,1,2,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003699,289,84,0.19,3,7,1,1,-1,1,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003700,491,500,5.395,2,8,1,1,-1,0,N,B,A7,L,0,3,4,Qwest Communications,CenturyLink,Wireline,3,,0
1003701,640,71,3.59,3,8,1,1,-2,1,N,B,I1,L,0,1,2,Vonage- NSR,Vonage,VOIP Other,1,,0
1003702,407,500,1.278,2,8,2,1,2,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003703,376,930,2.602,5,6,2,2,-1,-1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003704,343,149,0.298,7,5,-1,1,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003705,449,235,0.95,5,7,2,1,-1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003706,630,709,36.919,2,6,2,-2,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003707,740,240,7.991,2,5,2,1,2,-2,N,U,A7,W,7,3,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003708,410,264,0.739,2,5,2,1,2,0,N,U,A7,W,0,2,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003709,443,88,0.549,2,8,2,1,2,-2,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003710,517,80,1.783,5,8,2,1,-2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003711,393,50,1.247,1,8,2,-2,1,-1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003712,506,500,12.856,8,2,-1,-1,-1,0,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003713,451,84,0.536,2,3,2,-2,1,-1,N,U,A7,W,0,3,3,Cingular Wireless,AT&T,Wireless,,N,0
1003714,357,91,0.781,1,8,2,1,2,1,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003715,328,205,1.347,5,1,2,1,-1,-1,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003716,323,146,0.27,2,8,2,2,1,-2,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003717,517,141,2.111,2,6,2,1,1,-1,N,U,A7,W,0,3,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003718,600,140,0.408,7,5,-1,-1,2,0,N,B,A7,L,0,2,3,Windstream_SL-NSR,Windstream,Wireline,3,,0
1003719,402,86,0.248,2,8,2,2,1,-2,N,B,A7,L,0,3,4,Comcast Phone,Comcast,Wireline,3,,0
1003720,683,500,10.435,5,8,2,1,-2,0,N,U,A4,W,7,3,3,Cingular Wireless,AT&T,Wireless,,N,0
1003721,524,77,2.026,3,8,2,2,-2,1,N,U,A7,W,0,3,5,Cingular Wireless,AT&T,Wireless,,N,0
1003722,406,244,0.562,7,5,-1,1,-1,0,N,U,A7,W,7,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003723,452,171,0.51,5,2,1,-1,-1,-2,N,U,A7,W,0,2,3,Bluegrass Cellular-Kentucky RSA4-SVR,Bluegrass Cellular,Wireless,,N,0
1003724,515,500,2.864,7,5,-1,-1,-1,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003725,427,500,0.75,5,8,2,1,-2,0,N,U,A7,W,7,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003726,874,275,47.992,8,8,-2,-2,-1,0,N,U,A4,L,0,0,2,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,1
1003727,580,452,7.003,2,8,2,2,-1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003728,354,163,1.356,2,6,2,-1,1,-1,N,U,U,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003729,577,50,1.135,1,5,2,1,2,2,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003730,594,904,42.672,2,8,2,-2,-1,-2,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003731,825,157,12.806,5,7,2,1,-1,-1,Y,U,A3,W,7,3,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003732,416,500,3.395,2,8,1,1,1,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,1
1003733,508,192,0.777,5,8,2,2,-2,0,N,U,A7,W,0,3,3,Cingular Wireless,AT&T,Wireless,,N,0
1003734,475,500,2.434,2,8,2,1,2,0,N,U,A7,W,7,3,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003735,489,500,0.714,2,8,2,1,1,-2,N,B,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003736,394,142,0.839,2,8,2,-1,2,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003737,579,500,0.558,8,5,-1,-1,-2,0,N,U,A7,L,0,1,3,PAETEC,Windstream,Wireline,2,,0
1003738,317,86,0.253,1,8,2,2,1,1,N,U,A4,W,0,1,1,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003739,604,40,6.424,6,5,-1,2,-1,-1,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003740,417,904,3.611,2,5,2,1,2,-2,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003741,473,138,2.792,3,7,2,2,-1,1,N,U,A7,W,0,4,5,Cingular Wireless,AT&T,Wireless,,N,0
1003742,516,500,3.376,2,8,2,-1,2,-2,N,U,A7,W,0,3,5,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003743,388,95,0.723,3,7,2,-1,-1,-1,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003744,470,500,2.049,5,7,1,-1,-1,-2,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003745,503,92,1.284,2,6,2,-1,-1,0,N,U,A7,W,0,3,5,Cingular Wireless,AT&T,Wireless,,N,0
1003746,327,76,0.249,1,8,2,1,2,-1,N,U,A7,W,7,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003747,451,248,0.969,2,8,2,-2,1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003748,544,204,3.313,7,5,-1,2,-1,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003749,337,76,0.967,1,8,2,1,1,1,N,B,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003750,384,500,1.804,2,5,2,1,-1,0,N,U,A7,W,7,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003751,519,904,8.748,2,8,2,-2,-1,-2,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003752,388,500,1.179,2,8,2,-1,1,0,N,U,A7,W,0,4,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003753,905,500,40.527,7,5,-1,1,-1,0,N,U,A4,W,7,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003754,419,95,3.045,2,6,2,2,1,-1,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003755,421,73,0.851,1,8,2,1,2,-1,N,U,A7,W,7,3,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003756,647,500,2.75,7,4,-1,1,-1,-1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003757,595,500,1.363,8,5,-1,-1,0,-2,N,U,A4,L,0,0,1,Comcast Phone FL,Comcast,Wireline,3,,0
1003758,574,500,7.253,7,5,-1,1,-1,0,N,U,A7,W,7,0,0,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003759,337,904,1.995,2,5,2,2,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003760,367,245,0.379,2,8,1,1,2,0,N,U,A7,W,0,3,5,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003761,547,181,2.689,2,8,2,1,1,0,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003762,544,169,2.556,7,5,-1,2,-1,0,N,B,A7,L,0,2,3,Charter Fiber - NSR,Charter Communications,Wireline,3,,0
1003763,510,248,1.511,2,8,2,2,-1,0,N,U,A7,W,0,2,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003764,345,500,0.405,2,6,2,1,2,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003765,445,500,1.557,5,8,2,1,-2,0,N,U,A7,W,7,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003766,608,179,2.439,5,7,2,1,-1,0,Y,U,A7,W,7,2,3,Cingular Wireless,AT&T,Wireless,,Y,0
1003767,397,500,3.553,2,6,2,1,2,-1,N,U,A7,W,0,3,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003768,497,225,15.28,1,8,2,-1,2,1,N,U,A7,W,0,2,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003769,644,132,3.109,2,8,2,2,1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003770,455,144,3.711,2,8,2,-1,1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003771,566,904,10.446,5,7,1,-1,-1,-2,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003772,454,85,0.646,2,8,2,-1,1,-2,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003773,503,253,0.498,5,8,2,1,-2,-2,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003774,411,904,1.923,2,5,2,1,2,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003775,460,210,0.84,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003776,478,500,3.153,2,8,2,1,2,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003777,328,136,0.533,2,6,2,1,2,-1,Y,U,A7,W,0,3,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003778,579,500,7.138,2,8,2,1,2,0,Y,U,A7,W,7,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003779,393,113,0.26,2,3,2,1,2,-1,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003780,376,194,0.299,2,8,1,1,1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003781,358,96,0.224,2,5,2,1,2,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003782,461,904,3.984,2,5,2,1,2,-2,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003783,590,500,8.117,2,5,2,-2,1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003784,413,199,0.24,8,2,-1,-1,2,-2,N,B,A7,L,0,2,3,Comcast Phone FL,Comcast,Wireline,3,,0
1003785,439,276,3.448,1,8,2,-1,2,1,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003786,526,500,1.95,2,8,2,-2,-1,-2,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003787,553,248,1.721,2,8,2,1,-1,0,N,U,A7,W,3,3,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003788,465,500,2.816,2,8,2,-1,2,0,N,U,A7,W,2,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003789,406,500,1.126,5,6,2,1,-2,-1,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003790,387,500,0.724,2,8,1,-1,-1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003791,390,500,1.609,2,8,2,-2,1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003792,292,129,0.347,7,5,-1,-1,-1,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003793,419,500,0.541,5,8,2,-1,-2,-2,N,B,A7,L,0,2,3,Hawaiian Telcom,Hawaiian Telcom,Wireline,2,,0
1003794,658,500,2.969,2,8,2,2,2,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003795,342,221,0.424,2,8,2,-2,-1,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003796,449,73,0.22,1,8,1,1,1,-1,N,B,A3,L,0,1,2,Broadvox - NSR,Onvoy,Wireline,2,,0
1003797,481,500,0.463,2,8,1,1,-1,0,N,B,A7,L,0,3,4,Pacific Bell - Nevada Bell,AT&T,Wireline,3,,0
1003798,277,269,0.151,2,8,1,1,-1,-2,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003799,582,471,14.325,2,8,2,-1,-1,-2,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003800,523,96,0.952,2,6,2,-2,1,-1,N,B,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003801,421,500,29.15,2,8,2,1,2,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003802,345,122,0.283,2,8,2,-2,2,-2,N,U,A7,W,0,2,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003803,352,195,0.127,8,2,-1,-1,1,0,N,B,A7,L,0,3,4,Comcast Phone,Comcast,Wireline,3,,0
1003804,390,500,2.869,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003805,434,192,0.409,2,8,2,2,1,-2,N,U,A7,W,7,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003806,454,85,0.235,7,5,-1,1,-1,0,N,U,A7,L,0,1,3,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,0
1003807,468,154,0.434,3,7,2,-1,-1,1,N,C,A7,L,0,2,3,Cox Communications,Cox,Wireline,3,,0
1003808,330,83,0.329,1,8,2,-1,2,1,N,U,A7,W,0,2,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003809,390,500,1.474,7,5,-1,2,-1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003810,649,248,0.197,8,5,-1,-1,0,0,N,B,A7,L,0,5,5,McLeod USA - NSR,Windstream,Wireline,3,,0
1003811,443,244,0.702,2,5,2,-2,1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003812,538,95,1.136,2,8,2,1,2,0,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003813,598,196,9.188,2,5,2,2,1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003814,320,50,0.718,1,8,2,-2,1,1,N,B,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003815,461,248,1.868,2,8,2,1,0,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003816,467,500,1.682,8,2,-1,-1,2,0,N,B,A7,L,0,3,4,Time Warner Cable - NSR,Charter Communications,Wireline,3,,0
1003817,474,904,4.879,2,5,2,2,1,-2,N,U,A7,W,0,2,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003818,520,127,1.875,8,8,0,0,-2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003819,608,71,3.67,6,4,-1,1,-1,-1,N,B,I1,U,0,0,0,,,,,,0
1003820,443,144,0.032,7,5,-1,-1,-1,-2,N,U,I2,L,0,0,1,Great Plains Comm,Great Plains Comm,Wireline,3,,0
1003821,384,248,0.453,2,5,2,1,2,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003822,339,74,0.272,2,6,1,-1,1,0,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003823,385,50,0.204,1,8,1,1,1,1,N,U,A7,W,0,2,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003824,602,86,1.255,1,8,2,-2,1,-1,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003825,474,500,2.184,2,8,2,2,1,-2,Y,U,A7,W,0,3,4,Metro PCS Comm - NSR,T-Mobile,Wireless,,N,0
1003826,408,179,1.697,1,8,2,-1,1,1,N,U,I1,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003827,254,124,0.257,2,6,2,-2,2,-1,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003828,370,147,0.364,2,8,2,-2,-1,-2,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003829,324,500,1.176,2,8,2,-2,-1,0,N,U,A7,W,0,1,2,Cingular Wireless,AT&T,Wireless,,N,0
1003830,421,85,5.047,7,8,0,0,-1,0,N,U,A7,W,0,3,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003831,441,500,0.939,2,8,2,1,2,0,N,B,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003832,370,904,2.844,2,8,2,2,-1,-2,N,U,A4,W,1,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003833,416,500,1.566,7,5,-1,1,-1,0,N,U,A7,W,7,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003834,351,166,0.297,2,8,2,1,-1,0,N,U,A7,W,0,4,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003835,433,133,0.989,1,8,1,1,-1,-1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003836,522,500,5.16,8,2,-1,-1,-1,0,N,U,A7,W,7,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003837,484,50,3.845,1,8,2,-2,1,1,N,U,A7,W,7,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003838,527,500,3.13,2,8,1,1,1,-2,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003839,373,500,0.956,2,5,2,1,2,-2,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003840,405,904,2.942,2,8,2,2,-1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003841,337,207,0.645,7,5,-1,-1,1,0,N,U,A7,W,7,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003842,396,500,2.04,2,8,2,-1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003843,369,83,0.094,2,8,2,1,2,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003844,456,202,0.799,5,7,2,1,-1,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003845,407,159,0.267,2,8,2,2,1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003846,399,78,0.67,1,8,2,1,2,2,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003847,319,80,0.237,1,8,2,2,1,1,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1003848,441,61,2.223,1,8,2,1,1,1,N,B,A7,W,0,4,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003849,483,74,0.591,1,8,2,-1,1,1,N,U,A7,W,0,1,3,Cingular Wireless,AT&T,Wireless,,N,0
1003850,398,500,1.194,2,8,2,-1,2,-2,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003851,423,95,0.837,2,6,2,1,2,-1,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003852,608,50,1.894,1,8,2,-1,2,1,N,B,A7,W,0,4,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003853,391,183,1.691,2,8,2,2,1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003854,389,94,0.645,2,6,2,-2,0,0,N,U,I1,W,0,1,1,Cingular Wireless,AT&T,Wireless,,N,0
1003855,431,73,0.115,1,8,2,-1,1,1,N,B,A7,L,0,2,3,SBC IP,AT&T,Wireline,2,,0
1003856,388,500,1.213,2,8,2,1,2,0,N,U,A7,W,7,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003857,540,500,2.419,2,8,2,-2,1,-2,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1003858,586,492,1.322,7,5,-1,2,-1,-2,N,B,A7,L,0,1,3,Level 3-SVR,CenturyLink,Wireline,2,,0
1003859,463,88,0.999,6,4,-1,-1,-1,-1,N,U,A7,W,0,2,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1003860,437,930,2.773,2,8,1,1,2,0,N,B,A1,L,0,0,1,SouthWestern Bell,AT&T,Wireline,3,,0
1003861,329,66,0.71,1,8,2,-1,2,-1,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1003862,458,191,0.89,2,8,2,1,2,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1003863,774,500,9.951,7,5,-1,2,-1,0,N,U,A7,L,0,2,3,Vonage Network Inc,Vonage,VOIP Other,1,,0
1003864,448,84,2.969,2,5,-1,1,-1,0,N,U,A7,W,7,3,3,Cingular Wireless,AT&T,Wireless,,N,0
1003865,420,244,1.088,5,7,2,1,-1,0,Y,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,Y,0
1003866,515,500,3.46,2,8,1,1,-1,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1003867,418,904,2.676,7,5,-1,-1,1,-2,N,U,A7,W,0,1,3,Cingular Wireless,AT&T,Wireless,,N,0
1003868,314,79,0.352,6,5,-1,-1,-1,-1,Y,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,Y,0
